 9.660e-07, 4.36e-25, 2.52e-25
 9.670e-07, 4.69e-25, 2.86e-25
 9.680e-07, 5.26e-25, 3.38e-25
 9.690e-07, 6.15e-25, 4.16e-25
 9.700e-07, 7.49e-25, 5.35e-25
 9.710e-07, 9.45e-25, 7.10e-25
 9.720e-07, 1.29e-24, 1.02e-24
 9.730e-07, 1.66e-24, 1.38e-24
 9.740e-07, 2.07e-24, 1.82e-24
 9.750e-07, 2.35e-24, 2.17e-24
 9.760e-07, 2.50e-24, 2.44e-24
 9.770e-07, 2.46e-24, 2.53e-24
 9.780e-07, 2.29e-24, 2.48e-24
 9.790e-07, 2.01e-24, 2.29e-24
 9.800e-07, 1.57e-24, 1.88e-24
 9.810e-07, 1.27e-24, 1.60e-24
 9.820e-07, 9.95e-25, 1.32e-24
 9.830e-07, 7.57e-25, 1.06e-24
 9.840e-07, 5.70e-25, 8.38e-25
 9.850e-07, 4.36e-25, 6.74e-25
 9.860e-07, 3.43e-25, 5.57e-25
 9.870e-07, 2.78e-25, 4.74e-25
 9.880e-07, 2.32e-25, 4.17e-25
 9.890e-07, 1.98e-25, 3.75e-25
 9.900e-07, 1.72e-25, 3.43e-25
 9.910e-07, 1.53e-25, 3.20e-25
 9.920e-07, 1.40e-25, 3.07e-25
 9.930e-07, 1.31e-25, 3.02e-25
 9.940e-07, 1.25e-25, 3.03e-25
 9.950e-07, 1.21e-25, 3.09e-25
 9.960e-07, 1.19e-25, 3.18e-25
 9.970e-07, 1.16e-25, 3.27e-25
 9.980e-07, 1.14e-25, 3.38e-25
 9.990e-07, 1.12e-25, 3.49e-25
 1.000e-06, 1.11e-25, 3.61e-25
 1.001e-06, 1.09e-25, 3.74e-25
 1.002e-06, 1.07e-25, 3.86e-25
 1.003e-06, 1.06e-25, 4.00e-25
 1.004e-06, 1.04e-25, 4.13e-25
 1.005e-06, 1.02e-25, 4.28e-25
 1.006e-06, 1.01e-25, 4.43e-25
 1.007e-06, 9.98e-26, 4.59e-25
 1.008e-06, 9.86e-26, 4.76e-25
 1.009e-06, 9.77e-26, 4.95e-25
 1.010e-06, 9.68e-26, 5.14e-25
 1.011e-06, 9.59e-26, 5.35e-25
 1.012e-06, 9.48e-26, 5.55e-25
 1.013e-06, 9.36e-26, 5.75e-25
 1.014e-06, 9.21e-26, 5.93e-25
 1.015e-06, 9.03e-26, 6.10e-25
